,title,author,cover_image,publisher,cover_price,page_count,book_type,book_format,publication_date
484,Tempest's Fury,Nicole Peeler,http://ecx.images-amazon.com/images/I/51HrC7%2BbyqL.jpg,Orbit (US),$6.99,,NOVEL,ebook,2012-06-26
485,Caliban's War,James S. A. Corey,http://ecx.images-amazon.com/images/I/51gk9w-2TdL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-06-26
486,God Save the Queen,Kate Locke,http://www.isfdb.org/wiki/images/e/e3/GDSVTHQNTH2012.jpg,Orbit (US),$16.99,ix+354,NOVEL,hc,2012-07-03
487,God Save the Queen,Kate Locke,http://ecx.images-amazon.com/images/I/51e0cvFyuiL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-07-03
488,House of Shadows,Rachel Neumeier,http://ecx.images-amazon.com/images/I/516JVkEqE3L.jpg,Orbit (US),$14.99,323,NOVEL,tp,2012-07-10
489,House of Shadows,Rachel Neumeier,http://ecx.images-amazon.com/images/I/51AiqK7g89L.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-07-10
490,San Diego 2014: The Last Stand of the California Browncoats,Mira Grant,http://ecx.images-amazon.com/images/I/61HkdanRmTL.jpg,Orbit (US),$2.99,,CHAPBOOK,ebook,2012-07-11
491,Sharps,K. J. Parker,http://ecx.images-amazon.com/images/I/612UHwEg5JL.jpg,Orbit (US),$15.99,449,NOVEL,tp,2012-07-17
492,Sharps,K. J. Parker,http://ecx.images-amazon.com/images/I/618iXegzkzL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-07-17
493,Best Served Cold,Joe Abercrombie,http://ecx.images-amazon.com/images/I/51aKDSkxhzL.jpg,Orbit (US),$15.99,630,NOVEL,tp,2012-07-24
494,"Life, Liberty, and the Pursuit of Sausages",Tom Holt,http://ecx.images-amazon.com/images/I/41hGxHryQ7L.jpg,Orbit (US),$24.99,500,NOVEL,tp,2012-07-24
495,Chimera,T. C. McCarthy,http://ecx.images-amazon.com/images/I/51NrrtV14rL.jpg,Orbit (US),$7.99,375,NOVEL,pb,2012-07-31
496,Chimera,T. C. McCarthy,http://ecx.images-amazon.com/images/I/51Q59fWs7ML.jpg,Orbit (US),$6.99,,NOVEL,ebook,2012-07-31
497,The Fate of the Dwarves,Markus Heitz,http://ecx.images-amazon.com/images/I/51sHc7pvzRL.jpg,Orbit (US),$15.99,755,NOVEL,tp,2012-08-00
498,The Iron Wyrm Affair,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51oSmwEwA7L.jpg,Orbit (US),$13.99,323,NOVEL,tp,2012-08-00
499,The Fate of the Dwarves,Markus Heitz,http://ecx.images-amazon.com/images/I/51MONAZruPL.jpg,Orbit (US),$9.99,,NOVEL,ebook,2012-08-07
500,The Iron Wyrm Affair,Lilith Saintcrow,http://ecx.images-amazon.com/images/I/51H%2B8uMLDlL.jpg,Orbit (US),$7.99,,NOVEL,ebook,2012-08-07
