,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image
757,Red Blooded,Amanda Carlson,9780316404334,$15.00,325,NOVEL,tp,2014-09-09,Orbit (US),http://ecx.images-amazon.com/images/I/51moc64KG2L.jpg
758,Red Blooded,Amanda Carlson,9780316404341,$9.99,,NOVEL,ebook,2014-09-09,Orbit (US),http://ecx.images-amazon.com/images/I/51FSnUCUmmL.jpg
759,The Falcon Throne,Karen Miller,9780316235563,$9.99,,NOVEL,ebook,2014-09-09,Orbit (US),http://ecx.images-amazon.com/images/I/51zZxuO7%2BnL.jpg
760,Daring,Elliott James,9780316253406,$15.00,359,NOVEL,tp,2014-09-23,Orbit (US),http://ecx.images-amazon.com/images/I/51GZLZZZddL.jpg
761,Daring,Elliott James,9780316253413,$9.99,,NOVEL,ebook,2014-09-23,Orbit (US),http://ecx.images-amazon.com/images/I/51EvIxphqkL.jpg
762,Pack,Lilith Saintcrow,9780316339537,$1.99,,CHAPBOOK,ebook,2014-09-23,Orbit (US),http://ecx.images-amazon.com/images/I/51lQqBII-TL.jpg
763,War Dogs,Greg Bear,9780316072830,$25.00,291,NOVEL,hc,2014-10-00,Orbit (US),http://www.isfdb.org/wiki/images/f/f0/WRDGSXTJSW2014.jpg
764,Parasite,Mira Grant,9780316218924,$15.00,502,NOVEL,tp,2014-10-07,Orbit (US),http://ecx.images-amazon.com/images/I/51Hc1F4zAnL.jpg
765,Ancillary Sword,Ann Leckie,9780316246651,$16.00,391,NOVEL,tp,2014-10-07,Orbit (US),http://ecx.images-amazon.com/images/I/51MguDFDWUL.jpg
766,Ancillary Sword,Ann Leckie,9780316246644,$9.99,,NOVEL,ebook,2014-10-07,Orbit (US),http://ecx.images-amazon.com/images/I/51Lprs9dCzL.jpg
767,Fool's Gold,Jaye Wells,9780316299916,$2.99,,CHAPBOOK,ebook,2014-10-07,Orbit (US),http://ecx.images-amazon.com/images/I/51oYkQnEMlL.jpg
768,The Free,Brian Ruckley,9780316233491,$15.00,443,NOVEL,tp,2014-10-14,Orbit (US),http://ecx.images-amazon.com/images/I/61Qa7jOtjxL.jpg
769,The Free,Brian Ruckley,9780316233514,$9.99,,NOVEL,ebook,2014-10-14,Orbit (US),http://ecx.images-amazon.com/images/I/61BvAB8OJEL.jpg
770,War Dogs,Greg Bear,9780316335768,$12.99,,NOVEL,ebook,2014-10-14,Orbit (US),http://ecx.images-amazon.com/images/I/5114rhydDVL.jpg
771,Watching Over Us,Will McIntosh,9780316341349,$1.99,,CHAPBOOK,ebook,2014-10-21,Orbit (US),http://ecx.images-amazon.com/images/I/5169Q5IT-7L.jpg
772,The City Stained Red,Sam Sykes,9780316374866,$9.99,,NOVEL,ebook,2014-10-28,Orbit (US),http://ecx.images-amazon.com/images/I/61EqaxI4DlL.jpg
773,A Dance of Ghosts,David Dalglish,9780316242523,$16.00,474,NOVEL,tp,2014-11-11,Orbit (US),http://ecx.images-amazon.com/images/I/51t65gZMyqL.jpg
774,A Dance of Ghosts,David Dalglish,9780316242530,$9.99,,NOVEL,ebook,2014-11-11,Orbit (US),http://ecx.images-amazon.com/images/I/51bMK-rACaL.jpg
775,Symbiont,Mira Grant,9780316218993,$26.00,516,NOVEL,hc,2014-11-25,Orbit (US),http://ecx.images-amazon.com/images/I/516oHY%2BwBsL.jpg
776,Symbiont,Mira Grant,9780316219006,$12.99,,NOVEL,ebook,2014-11-25,Orbit (US),http://ecx.images-amazon.com/images/I/51GBdZxZuKL.jpg
777,Jinn and Juice,Nicole Peeler,9780316407342,$8.99,,NOVEL,ebook,2014-11-25,Orbit (US),http://ecx.images-amazon.com/images/I/51X6gs8%2Bk2L.jpg
778,City of Eternal Night,Kristen Painter,9780316278331,$16.00,364,NOVEL,tp,2014-12-02,Orbit (US),http://ecx.images-amazon.com/images/I/51pWfmoz46L.jpg
779,City of Eternal Night,Kristen Painter,9780316278317,$9.99,,NOVEL,ebook,2014-12-02,Orbit (US),http://ecx.images-amazon.com/images/I/513Gf1-4HFL.jpg
780,The Inheritance Trilogy,N. K. Jemisin,9780316334006,$20.00,1442,OMNIBUS,tp,2014-12-09,Orbit (US),http://ecx.images-amazon.com/images/I/61TWtRLZELL.jpg
781,The Inheritance Trilogy,N. K. Jemisin,9780316333986,$9.99,,OMNIBUS,ebook,2014-12-09,Orbit (US),http://ecx.images-amazon.com/images/I/61xvwaxWZJL.jpg
782,The Awakened Kingdom,N. K. Jemisin,9780316259057,$2.99,,CHAPBOOK,ebook,2014-12-09,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61o4gnX0U7L.jpg
783,The Malady and Other Stories: An Andrzej Sapkowski Sampler,Andrzej Sapkowski,9781322497808,$0.99,,COLLECTION,ebook,2014-12-16,Orbit (US),http://ecx.images-amazon.com/images/I/51hPpgs9jWL.jpg
784,Fire Water,Jaye Wells,9780316299886,$2.99,,CHAPBOOK,ebook,2015-01-06,Orbit (US),http://ecx.images-amazon.com/images/I/51cdKSU9sBL.jpg
785,Return to Honor,Brian McClellan,9780316300223,$2.99,,CHAPBOOK,ebook,2015-01-06,Orbit (US),http://ecx.images-amazon.com/images/I/51j7QPWm46L.jpg
786,The Dagger's Path,Glenda Larke,9780316399685,$16.00,416,NOVEL,tp,2015-01-13,Orbit (US),http://ecx.images-amazon.com/images/I/51l1FqXJjcL.jpg
787,The Dagger's Path,Glenda Larke,9780316399678,$9.99,,NOVEL,ebook,2015-01-13,Orbit (US),http://ecx.images-amazon.com/images/I/51qvVvWUaBL.jpg
788,The Crimson Campaign,Brian McClellan,9780316219075,$17.00,593,NOVEL,tp,2015-01-20,Orbit (US),http://ecx.images-amazon.com/images/I/51csJ-kHrTL.jpg
789,The City Stained Red,Sam Sykes,9780316374873,$16.00,598,NOVEL,tp,2015-01-27,Orbit (US),http://ecx.images-amazon.com/images/I/61Zm7jBqTML.jpg
790,The Autumn Republic,Brian McClellan,9780316219129,$26.00,577,NOVEL,hc,2015-02-10,Orbit (US),http://ecx.images-amazon.com/images/I/51ljiMeNKnL.jpg
791,Deadly Spells,Jaye Wells,9780316228428,$15.00,350,NOVEL,tp,2015-02-10,Orbit (US),http://ecx.images-amazon.com/images/I/51ioqSOE9lL.jpg
792,The Autumn Republic,Brian McClellan,9780316219105,$12.99,,NOVEL,ebook,2015-02-10,Orbit (US),http://ecx.images-amazon.com/images/I/51nEQtlgKoL.jpg
793,Deadly Spells,Jaye Wells,9780316228411,$9.99,,NOVEL,ebook,2015-02-10,Orbit (US),http://ecx.images-amazon.com/images/I/51XXly4CN6L.jpg
794,City Living,Will McIntosh,9780316341301,$1.99,,CHAPBOOK,ebook,2015-02-17,Orbit (US),http://ecx.images-amazon.com/images/I/516GDT9-8uL.jpg
795,The Remaining: Allegiance,D. J. Molles,9780316404266,$10.00,550,NOVEL,tp,2015-02-24,Orbit (US),http://ecx.images-amazon.com/images/I/51sUW2KS69L.jpg
796,The Remaining: Allegiance,D. J. Molles,9780316404273,$8.99,,NOVEL,ebook,2015-02-24,Orbit (US),http://ecx.images-amazon.com/images/I/51BgrV-2iyL.jpg
797,The Mechanical,Ian Tregillis,9780316248006,$17.00,440,NOVEL,tp,2015-03-10,Orbit (US),http://ecx.images-amazon.com/images/I/51pmVMP67oL.jpg
798,The Mechanical,Ian Tregillis,9780316247993,$9.99,,NOVEL,ebook,2015-03-10,Orbit (US),http://ecx.images-amazon.com/images/I/51Wcq4-uwpL.jpg
799,Prudence,Gail Carriger,9780316212243,$20.00,357,NOVEL,hc,2015-03-17,Orbit (US),http://www.isfdb.org/wiki/images/0/01/PRDNCTHCST2015.jpg
800,Prudence,Gail Carriger,9780316212236,$9.99,,NOVEL,ebook,2015-03-17,Orbit (US),http://ecx.images-amazon.com/images/I/51IB0EyQnKL.jpg
801,Truth and Fear,Peter Higgins,9780316219716,$16.00,361,NOVEL,tp,2015-03-24,Orbit (US),http://ecx.images-amazon.com/images/I/51r2c-SJtUL.jpg
802,Artefact,Jamie Sawyer,9780316386388,$2.99,,NOVEL,ebook,2015-03-24,Orbit (US),http://ecx.images-amazon.com/images/I/51m3xhPusnL.jpg
803,Garden of Dreams & Desires,Kristen Painter,9780316278355,$16.00,326,NOVEL,tp,2015-04-07,Orbit (US),http://ecx.images-amazon.com/images/I/61T5qjfgfAL.jpg
804,Jinn and Juice,Nicole Peeler,9780316407359,$10.00,338,NOVEL,tp,2015-04-07,Orbit (US),http://ecx.images-amazon.com/images/I/51yMawNl4UL.jpg
805,Garden of Dreams & Desires,Kristen Painter,9780316278348,$9.99,,NOVEL,ebook,2015-04-07,Orbit (US),http://ecx.images-amazon.com/images/I/61T5qjfgfAL.jpg
806,A Crown for Cold Silver,Alex Marshall,9780316277983,$26.00,646,NOVEL,hc,2015-04-14,Orbit (US),http://ecx.images-amazon.com/images/I/61VtnYmU5JL.jpg
807,Clash of Iron,Angus Watson,9780316399791,$16.00,533,NOVEL,tp,2015-04-14,Orbit (US),http://ecx.images-amazon.com/images/I/51iL-FcrmwL.jpg
808,Clash of Iron,Angus Watson,9780316399807,$9.99,,NOVEL,ebook,2015-04-14,Orbit (US),http://ecx.images-amazon.com/images/I/51xSuzTyOTL.jpg
809,A Crown for Cold Silver,Alex Marshall,9780316277990,$12.99,,NOVEL,ebook,2015-04-14,Orbit (US),http://ecx.images-amazon.com/images/I/51VdYDA7xKL.jpg
810,War of Shadows,Gail Z. Martin,9780316278027,$16.00,606,NOVEL,tp,2015-04-21,Orbit (US),http://ecx.images-amazon.com/images/I/51y8F9QRlFL.jpg
811,War of Shadows,Gail Z. Martin,9780316278003,$9.99,,NOVEL,ebook,2015-04-21,Orbit (US),http://ecx.images-amazon.com/images/I/5156gmRjrNL.jpg
812,The Two of Swords: Part One,K. J. Parker,9780316265713,$0.99,,CHAPBOOK,ebook,2015-04-21,Orbit (US),http://ecx.images-amazon.com/images/I/51km8nXqOWL.jpg
813,The Two of Swords: Part Two,K. J. Parker,9780316265805,$0.99,,CHAPBOOK,ebook,2015-04-21,Orbit (US),http://ecx.images-amazon.com/images/I/51TBknJnjsL.jpg
814,The Two of Swords: Part Three,K. J. Parker,9780316265775,$0.99,,CHAPBOOK,ebook,2015-04-21,Orbit (US),http://ecx.images-amazon.com/images/I/61vtNkQLcKL.jpg
815,The Girl with All the Gifts,M. R. Carey,9780316334754,$15.00,435,NOVEL,tp,2015-04-28,Orbit (US),http://www.isfdb.org/wiki/images/1/1e/THGRLWTHLL2015.jpg
816,Bulls Rush In,Elliott James,9780316346832,$1.99,,CHAPBOOK,ebook,2015-04-28,Orbit (US),http://ecx.images-amazon.com/images/I/61qaAj2U9nL.jpg
817,Cibola Burn,James S. A. Corey,9780316334686,$17.00,581,NOVEL,tp,2015-05-05,Orbit (US),http://ecx.images-amazon.com/images/I/5195onnrIlL.jpg
818,Thief's Magic,Trudi Canavan,9780316209250,$16.00,553,NOVEL,tp,2015-05-05,Orbit (US),http://ecx.images-amazon.com/images/I/51VXOfTBOoL.jpg
819,A Dance of Chaos,David Dalglish,9780316242578,$16.00,427,NOVEL,tp,2015-05-12,Orbit (US),http://ecx.images-amazon.com/images/I/514lkrNPOoL.jpg
820,A Dance of Chaos,David Dalglish,9780316242554,$9.99,,NOVEL,ebook,2015-05-12,Orbit (US),http://ecx.images-amazon.com/images/I/51XXllgVsQL.jpg
821,The Two of Swords: Part Four,K. J. Parker,9780316265683,$0.99,,CHAPBOOK,ebook,2015-05-12,Orbit (US),http://ecx.images-amazon.com/images/I/51GjZgINdZL.jpg
822,Radiant State,Peter Higgins,9780316219662,$26.00,282,NOVEL,hc,2015-05-19,Orbit (US),http://ecx.images-amazon.com/images/I/51uPZjS90BL.jpg
823,Radiant State,Peter Higgins,9780316219648,$12.99,,NOVEL,ebook,2015-05-19,Orbit (US),http://ecx.images-amazon.com/images/I/51CEQumQsCL.jpg
824,Sword of Destiny,Andrzej Sapkowski,9780316389716,$9.99,,COLLECTION,ebook,2015-05-19,Orbit (US),http://ecx.images-amazon.com/images/I/51FOUdhhGJL.jpg
825,Talking Dirty,Elliott James,9780316346849,$1.99,,CHAPBOOK,ebook,2015-05-19,Orbit (US),http://ecx.images-amazon.com/images/I/61JBndCwKxL.jpg
826,Nemesis Games,James S. A. Corey,9780316217583,$27.00,532,NOVEL,hc,2015-06-02,Orbit (US),http://www.isfdb.org/wiki/images/f/f8/NMSSGMSTHX2015.jpg
827,Nemesis Games,James S. A. Corey,9780316217590,$12.99,,NOVEL,ebook,2015-06-02,Orbit (US),http://ecx.images-amazon.com/images/I/51rVSCVbyIL.jpg
828,The Falcon Throne,Karen Miller,9780316120104,$16.00,674,NOVEL,tp,2015-06-09,Orbit (US),http://ecx.images-amazon.com/images/I/51zZxuO7%2BnL.jpg
829,Pure Blooded,Amanda Carlson,9780316404358,$16.00,284,NOVEL,tp,2015-06-16,Orbit (US),http://ecx.images-amazon.com/images/I/51tntbgZixL.jpg
830,Pure Blooded,Amanda Carlson,9780316404372,$9.99,,NOVEL,ebook,2015-06-16,Orbit (US),http://ecx.images-amazon.com/images/I/51YJtALZOPL.jpg
831,The Two of Swords: Part Five,K. J. Parker,9780316265652,$0.99,,CHAPBOOK,ebook,2015-06-16,Orbit (US),http://ecx.images-amazon.com/images/I/51ysUh66V4L.jpg
832,Trailer Park Fae,Lilith Saintcrow,9780316277853,$15.00,312,NOVEL,tp,2015-06-23,Orbit (US),http://ecx.images-amazon.com/images/I/51Na5h47zoL.jpg
833,Trailer Park Fae,Lilith Saintcrow,9780316277839,$9.99,,NOVEL,ebook,2015-06-23,Orbit (US),http://ecx.images-amazon.com/images/I/51Na5h47zoL.jpg
834,Aurora,Kim Stanley Robinson,9780316098106,$26.00,466,NOVEL,hc,2015-07-00,Orbit (US),http://www.isfdb.org/wiki/images/0/02/RRVGQPXRKL2015.jpg
835,Aurora,Kim Stanley Robinson,9780316378741,$12.99,,NOVEL,ebook,2015-07-00,Orbit (US),http://ecx.images-amazon.com/images/I/512F6VzC5DL.jpg
836,Aurora,Kim Stanley Robinson,9780316349482,$26.00,466,NOVEL,hc,2015-07-00,Orbit (US),http://www.isfdb.org/wiki/images/d/d7/RRFWQBZHZR2015.jpg
837,The Two of Swords: Part Six,K. J. Parker,9780316265768,$0.99,,CHAPBOOK,ebook,2015-07-14,Orbit (US),http://ecx.images-amazon.com/images/I/61E3ycog71L.jpg
838,Please Do Not Taunt the Octopus,Mira Grant,9780316259026,$2.99,,CHAPBOOK,ebook,2015-07-14,Orbit (US),http://ecx.images-amazon.com/images/I/61xNLUq5u%2BL.jpg
839,War Dogs,Greg Bear,9780316072823,$16.00,291,NOVEL,tp,2015-07-21,Orbit (US),http://ecx.images-amazon.com/images/I/51dpnpkLxUL.jpg
840,"The Good, The Bad and The Smug",Tom Holt,9780316368810,$15.00,344,NOVEL,tp,2015-07-28,Orbit (US),http://ecx.images-amazon.com/images/I/51FjdvJWIoL.jpg
841,"The Good, The Bad and The Smug",Tom Holt,9780316368803,$9.99,,NOVEL,ebook,2015-07-28,Orbit (US),http://ecx.images-amazon.com/images/I/517F6DTv9fL.jpg
842,The Remaining: Extinction,D. J. Molles,9780316261647,$10.00,455,NOVEL,tp,2015-07-28,Orbit (US),http://ecx.images-amazon.com/images/I/51iLK29MT0L.jpg
