,title,author,isbn,cover_price,page_count,book_type,book_format,publication_date,publisher,cover_image,approximate_word_count,publication_year
1192,Thicker Than Water,Mike Carey,9780316478717,15.99,417,NOVEL,tp,2018-06-19,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51hqAH6ujlL.jpg,145950.0,2018
1193,Thicker Than Water,Mike Carey,9780316478700,9.99,,NOVEL,ebook,2018-06-19,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51K-JWRw2rL.jpg,145950.0,2018
1194,A Big Ship at the Edge of the Universe,Alex White,9780316412063,15.99,440,NOVEL,tp,2018-06-26,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51xqogRP%2B1L.jpg,154000.0,2018
1195,A Big Ship at the Edge of the Universe,Alex White,9780316412087,9.99,,NOVEL,ebook,2018-06-26,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51fUi1jVm0L.jpg,154000.0,2018
1196,The Naming of the Beasts,Mike Carey,9780316478762,15.99,432,NOVEL,tp,2018-07-10,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51hLzLtHLdL.jpg,151200.0,2018
1197,The Naming of the Beasts,Mike Carey,9780316478731,9.99,,NOVEL,ebook,2018-07-10,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51J5vzSsRuL.jpg,151200.0,2018
1198,One of Us,Craig DiLouie,9780316411318,26.0,390,NOVEL,hc,2018-07-17,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/514JV6BHe8L.jpg,136500.0,2018
1199,One of Us,Craig DiLouie,9780316411356,9.99,,NOVEL,ebook,2018-07-17,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/41%2B8u4s%2BM1L.jpg,136500.0,2018
1200,Competence,Gail Carriger,9780316433884,26.0,309,NOVEL,hc,2018-07-17,Orbit (US),http://www.isfdb.org/wiki/images/2/20/CMPTNCCSTR2018.jpg,108150.0,2018
1201,Competence,Gail Carriger,9780316433877,13.99,,NOVEL,ebook,2018-07-17,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61oSl1G3J7L.jpg,108150.0,2018
1202,Spellslinger,Sebastien de Castell,9780316525749,9.99,,NOVEL,ebook,2018-07-17,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61MsfPxFT3L.jpg,,2018
1203,Annex,Rich Larson,9780316416542,15.99,317,NOVEL,tp,2018-07-24,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51E5L1U6jiL.jpg,110950.0,2018
1204,Annex,Rich Larson,9780316416559,4.99,,NOVEL,ebook,2018-07-24,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/51FMnNQ-IEL.jpg,110950.0,2018
1205,Dreadful Company,Vivian Shaw,9780316434638,15.99,399,NOVEL,tp,2018-07-31,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61jTle0BTbL.jpg,139650.0,2018
1206,Dreadful Company,Vivian Shaw,9780316434645,9.99,,NOVEL,ebook,2018-07-31,Orbit (US),https://images-na.ssl-images-amazon.com/images/I/61Z4RVx0tRL.jpg,139650.0,2018
